Price,Close,Volume
Ticker,^NSEI,^NSEI
Date,,
2016-04-21,7912.0498046875,223700
2016-04-22,7899.2998046875,183300
2016-04-25,7855.0498046875,146300
2016-04-26,7962.64990234375,202400
2016-04-27,7979.89990234375,206800
2016-04-28,7847.25,292500
2016-04-29,7849.7998046875,243700
2016-05-02,7805.89990234375,146300
2016-05-03,7747.0,186500
2016-05-04,7706.5498046875,199700
2016-05-05,7735.5,185100
2016-05-06,7733.4501953125,163600
2016-05-09,7866.0498046875,160600
2016-05-10,7887.7998046875,162000
2016-05-11,7848.85009765625,214100
2016-05-12,7900.39990234375,152700
2016-05-13,7814.89990234375,179500
2016-05-16,7860.75,205200
2016-05-17,7890.75,183400
2016-05-18,7870.14990234375,156400
2016-05-19,7783.39990234375,170400
2016-05-20,7749.7001953125,157000
2016-05-23,7731.0498046875,172000
2016-05-24,7748.85009765625,147000
2016-05-25,7934.89990234375,176200
2016-05-26,8069.64990234375,264300
2016-05-27,8156.64990234375,260900
2016-05-30,8178.5,247400
2016-05-31,8160.10009765625,471000
2016-06-01,8179.9501953125,194400
2016-06-02,8218.9501953125,181700
2016-06-03,8220.7998046875,379000
2016-06-06,8201.0498046875,171600
2016-06-07,8266.4501953125,241900
2016-06-08,8273.0498046875,174300
2016-06-09,8203.599609375,174900
2016-06-10,8170.0498046875,182200
2016-06-13,8110.60009765625,169700
2016-06-14,8108.85009765625,145500
2016-06-15,8206.599609375,169800
2016-06-16,8140.75,189200
2016-06-17,8170.2001953125,166600
2016-06-20,8238.5,168600
2016-06-21,8219.900390625,137000
2016-06-22,8203.7001953125,136100
2016-06-23,8270.4501953125,154100
2016-06-24,8088.60009765625,297600
2016-06-27,8094.7001953125,162500
2016-06-28,8127.85009765625,170400
2016-06-29,8204.0,147000
2016-06-30,8287.75,279400
2016-07-01,8328.349609375,165500
2016-07-04,8370.7001953125,154200
2016-07-05,8335.9501953125,139000
2016-07-07,8337.900390625,155500
2016-07-08,8323.2001953125,137900
2016-07-11,8467.900390625,149800
2016-07-12,8521.0498046875,183600
2016-07-13,8519.5,195500
2016-07-14,8565.0,153900
2016-07-15,8541.400390625,221700
2016-07-18,8508.7001953125,164300
2016-07-19,8528.5498046875,167900
2016-07-20,8565.849609375,160300
2016-07-21,8510.099609375,150000
2016-07-22,8541.2001953125,143200
2016-07-25,8635.650390625,150000
2016-07-26,8590.650390625,154800
2016-07-27,8615.7998046875,184100
2016-07-28,8666.2998046875,233500
2016-07-29,8638.5,157000
2016-08-01,8636.5498046875,188400
2016-08-02,8622.900390625,169400
2016-08-03,8544.849609375,163000
2016-08-04,8551.099609375,164700
2016-08-05,8683.150390625,157900
2016-08-08,8711.349609375,172600
2016-08-09,8678.25,200100
2016-08-10,8575.2998046875,173600
2016-08-11,8592.150390625,189200
2016-08-16,8642.5498046875,224800
2016-08-17,8624.0498046875,174100
2016-08-18,8673.25,164300
2016-08-19,8666.900390625,191900
2016-08-22,8629.150390625,152300
2016-08-23,8632.599609375,187500
2016-08-24,8650.2998046875,149600
2016-08-25,8592.2001953125,213100
2016-08-26,8572.5498046875,147500
2016-08-29,8607.4501953125,129700
2016-08-30,8744.349609375,150200
2016-08-31,8786.2001953125,362200
2016-09-01,8774.650390625,238900
2016-09-02,8809.650390625,191500
2016-09-06,8943.0,195600
2016-09-07,8917.9501953125,290100
2016-09-08,8952.5,217200
2016-09-09,8866.7001953125,175900
2016-09-12,8715.599609375,184500
2016-09-14,8726.599609375,184300
